City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Herat,AF,34.5,62.0,38.07,78,100,12.21,overcast clouds
245,Poum,NC,-20.2333,164.0167,81.64,72,100,4.9,overcast clouds
246,Maniitsoq,GL,65.4167,-52.9,10.62,80,100,7.65,overcast clouds
247,Elbistan,TR,38.2059,37.1983,17.67,79,64,1.12,broken clouds
248,Zhanaozen,KZ,43.3,52.8,40.05,79,99,10.58,overcast clouds
249,Puerto Madryn,AR,-42.7692,-65.0385,76.5,29,73,11.52,broken clouds
250,Kenai,US,60.5544,-151.2583,33.89,88,100,3.44,mist
251,Katsuura,JP,35.1333,140.3,43.2,59,62,1.88,broken clouds
252,Codrington,AU,-38.2667,141.9667,81.66,33,88,19.19,overcast clouds
253,Praya,CV,14.9215,-23.5087,73.94,64,96,20.71,overcast clouds
254,Bandar-E Lengeh,IR,26.5579,54.8807,69.19,74,68,12.73,broken clouds
255,Rocha,UY,-34.4833,-54.3333,65.32,91,100,14.79,overcast clouds
256,Saint-Denis,FR,48.9167,2.3333,39.11,70,0,9.22,clear sky
257,Marienburg,PL,54.0359,19.0266,31.87,66,64,13.06,broken clouds
258,That Phanom,TH,16.9364,104.7104,70.0,79,63,4.81,broken clouds
259,San Cristobal,VE,7.7669,-72.225,75.38,55,93,2.55,overcast clouds
260,Port-Gentil,GA,-0.7193,8.7815,80.15,83,89,8.48,light rain
261,Cracow,US,43.7424,-82.8199,14.13,67,0,0.0,clear sky
262,Manyana,BW,-23.4,21.7167,71.51,34,9,7.54,clear sky
263,Townsville,AU,-19.25,146.8,81.48,65,75,4.61,broken clouds
264,Bandarbeyla,SO,9.4942,50.8122,75.47,70,100,13.42,overcast clouds
265,Puerto Palomas,MX,31.7667,-107.6167,56.53,37,0,12.26,clear sky
266,Bumba,CD,2.1833,22.4667,75.88,57,98,2.44,overcast clouds
267,Srivardhan,IN,18.0333,73.0167,72.48,56,30,5.03,scattered clouds
268,Maceio,BR,-9.6658,-35.7353,80.04,78,0,12.66,clear sky
