City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,Morro Bay,US,87.12,few clouds,35.3658,-120.8499,Inn at Morro Bay
562,Puerto Madero,MX,83.19,clear sky,14.7208,-92.4215,Hospedaje madero
564,La Reforma,MX,81.75,overcast clouds,25.0833,-108.05,Hotel Reforma
565,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
568,Point Pedro,LK,79.36,moderate rain,9.8167,80.2333,Gtr homes
578,Cotonou,BJ,82.38,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
591,Kencong,ID,75.61,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
592,Savannah Bight,HN,82.45,clear sky,16.45,-85.85,Villa on Dunbar Rock
593,Dhidhdhoo,MV,81.1,overcast clouds,6.8833,73.1,Dhidhoo beach
598,Sorong,ID,78.24,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
602,Purwokerto,ID,76.46,overcast clouds,-7.4214,109.2344,ASTON Imperium Purwokerto
605,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
606,Piacabucu,BR,80.42,clear sky,-10.4056,-36.4344,Piaçabuçu News
607,Bubaque,GW,78.71,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
617,Honiara,SB,83.82,overcast clouds,-9.4333,159.95,Heritage Park Hotel
618,Karaton,ID,80.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
619,Kulhudhuffushi,MV,81.05,overcast clouds,6.6221,73.07,Haajy Guest House 1
620,Marsh Harbour,BS,76.05,few clouds,26.5412,-77.0636,Abaco Beach Resort
626,Moerai,PF,79.99,light rain,-22.4333,-151.3333,Le Manotel
631,Tual,ID,83.01,few clouds,-5.6667,132.75,Grand Vilia Hotel
636,Caravelas,BR,76.59,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
643,Bayshore Gardens,US,75.22,broken clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
650,Ankazoabo,MG,76.03,scattered clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
651,Lompoc,US,86.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
656,Victor Harbor,AU,88.47,broken clouds,-35.5667,138.6167,McCracken Country Club
659,Laguna,US,79.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
665,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
668,Bogande,BF,75.2,clear sky,12.9714,-0.1436,Auberge Wendkouni
669,Maragogi,BR,80.38,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
670,Mamallapuram,IN,79.05,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
674,Celestun,MX,78.19,broken clouds,20.8667,-90.4,Posada Lilia
675,Sunrise,US,79.02,scattered clouds,26.1577,-80.2861,"Holiday Inn Express & Suites Ft. Lauderdale-Plantation, an IHG Hotel"
676,Half Moon Bay,US,83.19,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
680,Banda Aceh,ID,77.18,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
688,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
693,San Onofre,CO,81.41,few clouds,9.7359,-75.5263,Hotel Sinai
697,Acarau,BR,79.56,overcast clouds,-2.8856,-40.12,castelo pizzaria
